Row ID,Order ID,Order Date,Ship Date,Ship Type,Segment,Customer,Product ID,Sales,Quantity,Discount,Profit
25,CA-2015-106320,25/09/2015,30/09/2015,4,1,EB-13870,FUR-TA-10000577,1044.63,3,0,240.26
26,CA-2016-121755,16/01/2016,20/01/2016,3,1,EH-13945,OFF-BI-10001634,11.64,2,0.2,4.22
27,CA-2016-121755,16/01/2016,20/01/2016,3,1,EH-13945,TEC-AC-10003027,90.57,3,0,11.77
28,US-2015-150630,17/09/2015,21/09/2015,4,1,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.05
29,US-2015-150630,17/09/2015,21/09/2015,4,1,TB-21520,OFF-BI-10000474,9.61,2,0.7,-7.05
30,US-2015-150630,17/09/2015,21/09/2015,4,1,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.52
31,US-2015-150630,17/09/2015,21/09/2015,4,1,TB-21520,OFF-EN-10001509,3.26,2,0.2,1.1
32,US-2015-150630,17/09/2015,21/09/2015,4,1,TB-21520,OFF-AR-10004042,86.3,6,0.2,9.7
33,US-2015-150630,17/09/2015,21/09/2015,4,1,TB-21520,OFF-BI-10001525,6.85,6,0.7,-5.71
34,US-2015-150630,17/09/2015,21/09/2015,4,1,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.54
35,CA-2017-107727,19/10/2017,23/10/2017,3,3,MA-17560,OFF-PA-10000249,29.47,3,0.2,9.94
36,CA-2016-117590,08/12/2016,10/12/2016,1,2,GH-14485,TEC-PH-10004977,1097.54,7,0.2,123.47
37,CA-2016-117590,08/12/2016,10/12/2016,1,2,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.96
38,CA-2015-117415,27/12/2015,31/12/2015,4,3,SN-20710,OFF-EN-10002986,113.32,9,0.2,35.41
39,CA-2015-117415,27/12/2015,31/12/2015,4,3,SN-20710,FUR-BO-10002545,532.39,3,0.32,-46.97
40,CA-2015-117415,27/12/2015,31/12/2015,4,3,SN-20710,FUR-CH-10004218,212.05,3,0.3,-15.14
41,CA-2015-117415,27/12/2015,31/12/2015,4,3,SN-20710,TEC-PH-10000486,371.16,4,0.2,41.75
42,CA-2017-120999,10/09/2017,15/09/2017,4,2,LC-16930,TEC-PH-10004093,147.16,4,0.2,16.55
43,CA-2016-101343,17/07/2016,22/07/2016,4,2,RA-19885,OFF-ST-10003479,77.88,2,0,3.89
44,CA-2017-139619,19/09/2017,23/09/2017,4,2,ES-14080,OFF-ST-10003282,95.61,2,0.2,9.56
45,CA-2016-118255,11/03/2016,13/03/2016,1,2,ON-18715,TEC-AC-10000171,45.98,2,0,19.77
46,CA-2016-118255,11/03/2016,13/03/2016,1,2,ON-18715,OFF-BI-10003291,17.46,2,0,8.2
47,CA-2014-146703,20/10/2014,25/10/2014,3,1,PO-18865,OFF-ST-10001713,211.96,4,0,8.47
48,CA-2016-169194,20/06/2016,25/06/2016,4,1,LH-16900,TEC-AC-10002167,45,3,0,4.95
49,CA-2016-169194,20/06/2016,25/06/2016,4,1,LH-16900,TEC-PH-10003988,21.8,2,0,6.1
50,CA-2015-115742,18/04/2015,22/04/2015,4,1,DP-13000,OFF-BI-10004410,38.22,6,0,17.96
51,CA-2015-115742,18/04/2015,22/04/2015,4,1,DP-13000,OFF-LA-10002762,75.18,6,0,35.33
52,CA-2015-115742,18/04/2015,22/04/2015,4,1,DP-13000,FUR-FU-10001706,6.16,2,0,2.95
53,CA-2015-115742,18/04/2015,22/04/2015,4,1,DP-13000,FUR-CH-10003061,89.99,1,0,17.09
54,CA-2016-105816,11/12/2016,17/12/2016,4,2,JM-15265,OFF-FA-10000304,15.26,7,0,6.25
55,CA-2016-105816,11/12/2016,17/12/2016,4,2,JM-15265,TEC-PH-10002447,1029.95,5,0,298.68
56,CA-2016-111682,17/06/2016,18/06/2016,1,1,TB-21055,OFF-ST-10000604,208.56,6,0,52.14
57,CA-2016-111682,17/06/2016,18/06/2016,1,1,TB-21055,OFF-PA-10001569,32.4,5,0,15.55
58,CA-2016-111682,17/06/2016,18/06/2016,1,1,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.09
59,CA-2016-111682,17/06/2016,18/06/2016,1,1,TB-21055,OFF-PA-10000587,14.56,2,0,6.98
60,CA-2016-111682,17/06/2016,18/06/2016,1,1,TB-21055,TEC-AC-10002167,30,2,0,3.3
61,CA-2016-111682,17/06/2016,18/06/2016,1,1,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.36
62,CA-2016-111682,17/06/2016,18/06/2016,1,1,TB-21055,OFF-AR-10001868,1.68,1,0,0.84
63,CA-2015-135545,24/11/2015,30/11/2015,4,1,KM-16720,TEC-AC-10004633,13.98,2,0,6.15
64,CA-2015-135545,24/11/2015,30/11/2015,4,1,KM-16720,OFF-BI-10001078,25.82,6,0.2,9.36
65,CA-2015-135545,24/11/2015,30/11/2015,4,1,KM-16720,OFF-PA-10003892,146.73,3,0,68.96
66,CA-2015-135545,24/11/2015,30/11/2015,4,1,KM-16720,FUR-FU-10000397,79.76,4,0,22.33
67,US-2015-164175,30/04/2015,05/05/2015,4,3,PS-18970,FUR-CH-10001146,213.11,5,0.3,-15.22
68,CA-2014-106376,05/12/2014,10/12/2014,4,2,BS-11590,OFF-AR-10002671,1113.02,8,0.2,111.3
69,CA-2014-106376,05/12/2014,10/12/2014,4,2,BS-11590,TEC-PH-10002726,167.96,4,0.2,62.98
70,CA-2016-119823,04/06/2016,06/06/2016,1,1,KD-16270,OFF-PA-10000482,75.88,2,0,35.66
71,CA-2016-106075,18/09/2016,23/09/2016,4,1,HM-14980,OFF-BI-10004654,4.61,1,0.2,1.73
72,CA-2017-114440,14/09/2017,17/09/2017,3,1,TB-21520,OFF-PA-10004675,19.05,3,0,8.76
73,US-2015-134026,26/04/2015,02/05/2015,4,1,JE-15745,FUR-CH-10000513,831.93,8,0.2,-114.39
74,US-2015-134026,26/04/2015,02/05/2015,4,1,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.21
75,US-2015-134026,26/04/2015,02/05/2015,4,1,JE-15745,OFF-ST-10004123,72.78,1,0.2,-18.19
76,US-2017-118038,09/12/2017,11/12/2017,1,2,KB-16600,OFF-BI-10004182,1.24,3,0.8,-1.93
77,US-2017-118038,09/12/2017,11/12/2017,1,2,KB-16600,FUR-FU-10000260,9.7,3,0.6,-5.82
78,US-2017-118038,09/12/2017,11/12/2017,1,2,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.72
79,US-2014-147606,26/11/2014,01/12/2014,3,1,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.47
80,CA-2016-127208,12/06/2016,15/06/2016,1,2,SC-20770,OFF-AP-10002118,208.16,1,0,56.2
81,CA-2016-127208,12/06/2016,15/06/2016,1,2,SC-20770,OFF-BI-10002309,16.74,3,0,8.03
82,CA-2014-139451,12/10/2014,16/10/2014,4,1,DN-13690,OFF-AR-10002053,14.9,5,0,4.17
83,CA-2014-139451,12/10/2014,16/10/2014,4,1,DN-13690,OFF-ST-10002370,21.39,1,0,6.2
84,CA-2015-149734,03/09/2015,08/09/2015,4,2,JC-16105,OFF-EN-10000927,200.98,7,0.2,62.8
85,US-2017-119662,13/11/2017,16/11/2017,1,3,CS-12400,OFF-ST-10003656,230.37,3,0.2,-48.95
86,CA-2017-140088,28/05/2017,30/05/2017,3,1,PO-18865,FUR-CH-10000863,301.96,2,0,33.21
87,CA-2017-155558,26/10/2017,02/11/2017,4,1,PG-18895,TEC-AC-10001998,19.99,1,0,6.79
88,CA-2017-155558,26/10/2017,02/11/2017,4,1,PG-18895,OFF-LA-10000134,6.16,2,0,2.95
89,CA-2016-159695,05/04/2016,10/04/2016,3,3,GM-14455,OFF-ST-10003442,158.36,7,0.2,13.85
90,CA-2016-109806,17/09/2016,22/09/2016,4,2,JS-15685,OFF-AR-10004930,20.1,3,0,6.63
91,CA-2016-109806,17/09/2016,22/09/2016,4,2,JS-15685,TEC-PH-10004093,73.58,2,0.2,8.27
92,CA-2016-109806,17/09/2016,22/09/2016,4,2,JS-15685,OFF-PA-10000304,6.48,1,0,3.11
93,CA-2015-149587,31/01/2015,05/02/2015,3,1,KB-16315,OFF-PA-10003177,12.96,2,0,6.22
94,CA-2015-149587,31/01/2015,05/02/2015,3,1,KB-16315,FUR-FU-10003799,53.34,3,0,16.53
95,CA-2015-149587,31/01/2015,05/02/2015,3,1,KB-16315,OFF-BI-10002852,32.96,2,0,16.15
96,US-2017-109484,06/11/2017,12/11/2017,4,3,RB-19705,OFF-BI-10004738,5.68,1,0.7,-3.78
97,CA-2017-161018,09/11/2017,11/11/2017,3,3,PN-18775,FUR-FU-10000629,96.53,7,0,40.54
98,CA-2017-157833,17/06/2017,20/06/2017,1,1,KD-16345,OFF-BI-10001721,51.31,3,0.2,17.95
99,CA-2016-149223,06/09/2016,11/09/2016,4,2,ER-13855,OFF-AP-10000358,77.88,6,0,22.58
100,CA-2016-158568,29/08/2016,02/09/2016,4,3,RB-19465,OFF-PA-10003256,64.62,7,0.2,22.61
101,CA-2016-158568,29/08/2016,02/09/2016,4,3,RB-19465,TEC-AC-10001767,95.97,3,0.2,-10.79
102,CA-2016-158568,29/08/2016,02/09/2016,4,3,RB-19465,OFF-BI-10002609,1.78,3,0.8,-3.03
103,CA-2016-129903,01/12/2016,04/12/2016,3,1,GZ-14470,OFF-PA-10004040,23.92,4,0,11.72
104,US-2015-156867,13/11/2015,17/11/2015,4,1,LC-16870,TEC-AC-10001552,238.89,6,0.2,-26.87
105,US-2015-156867,13/11/2015,17/11/2015,4,1,LC-16870,FUR-FU-10004006,102.36,3,0.2,-3.83
106,US-2015-156867,13/11/2015,17/11/2015,4,1,LC-16870,OFF-BI-10002794,36.88,3,0.7,-25.81
107,CA-2017-119004,23/11/2017,28/11/2017,4,1,JM-15250,TEC-AC-10003499,74.11,8,0.2,17.6
108,CA-2017-119004,23/11/2017,28/11/2017,4,1,JM-15250,TEC-PH-10002844,27.99,1,0.2,2.09
109,CA-2017-119004,23/11/2017,28/11/2017,4,1,JM-15250,OFF-AR-10000390,3.3,1,0.2,1.07
110,CA-2015-129476,15/10/2015,20/10/2015,4,3,PA-19060,TEC-AC-10000844,339.96,5,0.2,67.99
111,CA-2017-146780,25/12/2017,30/12/2017,4,2,CV-12805,FUR-FU-10001934,41.96,2,0,10.9
112,CA-2016-128867,03/11/2016,10/11/2016,4,1,CL-12565,OFF-AR-10000380,75.96,2,0,22.78
113,CA-2016-128867,03/11/2016,10/11/2016,4,1,CL-12565,OFF-BI-10003981,27.24,6,0,13.34
114,CA-2014-115259,25/08/2014,27/08/2014,3,1,RC-19960,OFF-FA-10000621,40.09,14,0.2,14.53
115,CA-2014-115259,25/08/2014,27/08/2014,3,1,RC-19960,OFF-EN-10002600,4.72,2,0.2,1.65
116,CA-2014-115259,25/08/2014,27/08/2014,3,1,RC-19960,OFF-PA-10004965,23.97,3,0.2,7.49
117,CA-2014-115259,25/08/2014,27/08/2014,3,1,RC-19960,OFF-EN-10002504,130.46,6,0.2,44.03
118,CA-2015-110457,02/03/2015,06/03/2015,4,1,DK-13090,FUR-TA-10001768,787.53,3,0,165.38
119,US-2015-136476,05/04/2015,10/04/2015,4,2,GG-14650,OFF-BI-10003650,157.79,1,0.7,-115.71
120,CA-2016-103730,12/06/2016,15/06/2016,1,1,SC-20725,FUR-FU-10002157,47.04,3,0,18.34
121,CA-2016-103730,12/06/2016,15/06/2016,1,1,SC-20725,OFF-BI-10003910,30.84,4,0,13.87
122,CA-2016-103730,12/06/2016,15/06/2016,1,1,SC-20725,OFF-ST-10000777,226.56,6,0,63.43
123,CA-2016-103730,12/06/2016,15/06/2016,1,1,SC-20725,OFF-EN-10002500,115.02,9,0,51.75
124,CA-2016-103730,12/06/2016,15/06/2016,1,1,SC-20725,TEC-PH-10003875,68.04,7,0,19.73
125,US-2014-152030,26/12/2014,28/12/2014,3,3,AD-10180,FUR-CH-10004063,600.55,3,0.3,-8.57
126,US-2014-134614,20/09/2014,25/09/2014,4,1,PF-19165,FUR-TA-10004534,617.7,6,0.5,-407.68
127,US-2017-107272,05/11/2017,12/11/2017,4,1,TS-21610,OFF-BI-10003274,2.38,2,0.7,-1.83
128,US-2017-107272,05/11/2017,12/11/2017,4,1,TS-21610,OFF-ST-10002974,243.99,7,0.2,30.49
129,US-2016-125969,06/11/2016,10/11/2016,3,3,LS-16975,FUR-CH-10001146,81.42,2,0.2,-9.16
130,US-2016-125969,06/11/2016,10/11/2016,3,3,LS-16975,FUR-FU-10003773,238.56,3,0,26.24
131,US-2017-164147,02/02/2017,05/02/2017,1,2,DW-13585,TEC-PH-10002293,59.97,5,0.4,-11.99
132,US-2017-164147,02/02/2017,05/02/2017,1,2,DW-13585,OFF-PA-10002377,78.3,2,0.2,29.36
133,US-2017-164147,02/02/2017,05/02/2017,1,2,DW-13585,OFF-FA-10002780,21.45,9,0.2,6.97
134,CA-2016-145583,13/10/2016,19/10/2016,4,1,LC-16885,OFF-PA-10001804,20.04,3,0,9.61
135,CA-2016-145583,13/10/2016,19/10/2016,4,1,LC-16885,OFF-PA-10001736,35.44,1,0,16.65
136,CA-2016-145583,13/10/2016,19/10/2016,4,1,LC-16885,OFF-AR-10001149,11.52,4,0,3.45
137,CA-2016-145583,13/10/2016,19/10/2016,4,1,LC-16885,OFF-FA-10002988,4.02,2,0,1.96
138,CA-2016-145583,13/10/2016,19/10/2016,4,1,LC-16885,OFF-BI-10004781,76.17,3,0.2,26.66
139,CA-2016-145583,13/10/2016,19/10/2016,4,1,LC-16885,OFF-SU-10001218,65.88,6,0,18.44
140,CA-2016-145583,13/10/2016,19/10/2016,4,1,LC-16885,FUR-FU-10001706,43.12,14,0,20.69
141,CA-2016-110366,05/09/2016,07/09/2016,3,2,JD-15895,FUR-FU-10004848,82.8,2,0.2,10.35
142,CA-2017-106180,18/09/2017,23/09/2017,4,2,SH-19975,OFF-AR-10000940,8.82,3,0,2.38
143,CA-2017-106180,18/09/2017,23/09/2017,4,2,SH-19975,OFF-EN-10004030,10.86,3,0,5.1
144,CA-2017-106180,18/09/2017,23/09/2017,4,2,SH-19975,OFF-PA-10004327,143.7,3,0,68.97
145,CA-2017-155376,22/12/2017,27/12/2017,4,1,SG-20080,OFF-AP-10001058,839.43,3,0,218.25
146,CA-2015-110744,07/09/2015,12/09/2015,4,1,HA-14920,OFF-ST-10003656,671.93,7,0,20.15
147,CA-2014-110072,22/10/2014,28/10/2014,4,3,MG-17680,FUR-FU-10000521,93.88,4,0.2,12.9
148,CA-2016-114489,05/12/2016,09/12/2016,4,2,JE-16165,TEC-PH-10000215,384.45,11,0,103.8
149,CA-2016-114489,05/12/2016,09/12/2016,4,2,JE-16165,TEC-PH-10001448,149.97,3,0,5.99
150,CA-2016-114489,05/12/2016,09/12/2016,4,2,JE-16165,FUR-CH-10000454,1951.84,8,0,585.55
151,CA-2016-114489,05/12/2016,09/12/2016,4,2,JE-16165,OFF-BI-10002735,171.55,5,0,80.62
152,CA-2016-158834,13/03/2016,16/03/2016,1,3,TW-21025,OFF-AP-10000326,157.92,5,0.2,17.76
153,CA-2016-158834,13/03/2016,16/03/2016,1,3,TW-21025,TEC-PH-10001254,203.18,2,0.2,15.23
154,CA-2015-124919,31/05/2015,02/06/2015,1,2,SP-20650,OFF-PA-10001950,58.38,7,0,26.27
155,CA-2015-124919,31/05/2015,02/06/2015,1,2,SP-20650,OFF-PA-10002254,105.52,4,0,48.53
156,CA-2015-124919,31/05/2015,02/06/2015,1,2,SP-20650,OFF-ST-10001590,80.88,6,0,21.02
157,CA-2015-118948,28/05/2015,03/06/2015,4,3,NK-18490,OFF-AR-10001547,6.63,3,0,1.79
158,CA-2014-104269,01/03/2014,06/03/2014,3,1,DB-13060,FUR-CH-10004063,457.56,2,0.2,51.47
159,CA-2016-114104,20/11/2016,24/11/2016,4,1,NP-18670,OFF-LA-10002475,14.62,2,0,6.87
160,CA-2016-114104,20/11/2016,24/11/2016,4,1,NP-18670,TEC-PH-10004536,944.93,7,0,236.23
161,CA-2016-162733,11/05/2016,12/05/2016,1,1,TT-21070,OFF-PA-10002751,5.98,1,0,2.69
162,CA-2015-119697,28/12/2015,31/12/2015,3,1,EM-13960,TEC-AC-10003657,54.38,2,0.2,1.35
163,CA-2016-154508,16/11/2016,20/11/2016,4,1,RD-19900,OFF-EN-10001990,28.4,5,0,13.34
164,CA-2016-113817,07/11/2016,11/11/2016,4,1,MJ-17740,OFF-BI-10004002,27.68,2,0.2,9.68
165,CA-2014-139892,08/09/2014,12/09/2014,4,1,BM-11140,OFF-AR-10004441,9.93,3,0.2,2.73
166,CA-2014-139892,08/09/2014,12/09/2014,4,1,BM-11140,TEC-MA-10000822,8159.95,8,0.4,-1359.99
167,CA-2014-139892,08/09/2014,12/09/2014,4,1,BM-11140,OFF-ST-10000991,275.92,3,0.2,-58.63
168,CA-2014-139892,08/09/2014,12/09/2014,4,1,BM-11140,FUR-CH-10004287,1740.06,9,0.3,-24.85
169,CA-2014-139892,08/09/2014,12/09/2014,4,1,BM-11140,OFF-AR-10002656,32.06,6,0.2,6.81
170,CA-2014-139892,08/09/2014,12/09/2014,4,1,BM-11140,OFF-AP-10002518,177.98,5,0.8,-453.84
171,CA-2014-139892,08/09/2014,12/09/2014,4,1,BM-11140,TEC-PH-10003931,143.97,3,0.2,8.99
172,CA-2014-118962,05/08/2014,09/08/2014,4,1,CS-12130,OFF-PA-10000659,20.94,3,0,9.84
173,CA-2014-118962,05/08/2014,09/08/2014,4,1,CS-12130,OFF-PA-10001144,110.96,2,0,53.26
174,CA-2014-118962,05/08/2014,09/08/2014,4,1,CS-12130,FUR-CH-10003817,340.14,7,0.2,21.25
175,US-2014-100853,14/09/2014,19/09/2014,4,2,JB-15400,OFF-AP-10000891,52.44,2,0.8,-131.12
176,US-2014-100853,14/09/2014,19/09/2014,4,2,JB-15400,OFF-LA-10003148,20.16,4,0.2,6.55
177,US-2017-152366,21/04/2017,25/04/2017,3,1,SJ-20500,OFF-AP-10002684,97.26,4,0.8,-243.16
178,US-2015-101511,21/11/2015,23/11/2015,3,1,JE-15745,FUR-CH-10004698,396.8,7,0.3,-11.33
179,US-2015-101511,21/11/2015,23/11/2015,3,1,JE-15745,OFF-SU-10002189,15.88,5,0.2,-3.77
180,CA-2015-137225,15/12/2015,19/12/2015,4,3,JK-15640,OFF-AR-10001940,3.28,1,0,1.41
181,CA-2014-166191,05/12/2014,09/12/2014,3,2,DK-13150,OFF-ST-10003455,24.81,2,0.2,1.86
182,CA-2014-166191,05/12/2014,09/12/2014,3,2,DK-13150,TEC-AC-10004659,408.74,7,0.2,76.63
183,CA-2014-158274,19/11/2014,24/11/2014,3,3,RM-19675,TEC-PH-10003273,503.96,4,0,131.02
184,CA-2014-158274,19/11/2014,24/11/2014,3,3,RM-19675,TEC-PH-10004896,149.95,5,0,41.98
185,CA-2014-158274,19/11/2014,24/11/2014,3,3,RM-19675,TEC-AC-10002345,29,2,0,7.25
186,CA-2016-105018,28/11/2016,02/12/2016,4,1,SK-19990,OFF-BI-10001890,7.16,2,0,3.43
187,CA-2014-123260,26/08/2014,30/08/2014,4,3,FM-14290,TEC-AC-10002323,176.8,8,0,22.98
188,CA-2016-157000,16/07/2016,22/07/2016,4,2,AM-10360,OFF-ST-10001328,37.22,3,0.2,3.72
189,CA-2016-157000,16/07/2016,22/07/2016,4,2,AM-10360,OFF-PA-10001950,20.01,3,0.2,6.25
190,CA-2015-102281,12/10/2015,14/10/2015,1,3,MP-17470,FUR-BO-10002613,899.13,4,0.2,112.39
191,CA-2015-102281,12/10/2015,14/10/2015,1,3,MP-17470,TEC-PH-10001552,71.76,6,0,20.09
192,CA-2015-102281,12/10/2015,14/10/2015,1,3,MP-17470,OFF-PA-10000061,51.84,8,0,24.88
193,CA-2015-102281,12/10/2015,14/10/2015,1,3,MP-17470,FUR-BO-10002545,626.35,3,0.2,46.97
194,CA-2015-102281,12/10/2015,14/10/2015,1,3,MP-17470,OFF-AR-10003514,19.9,5,0,6.56
195,CA-2015-131457,31/10/2015,06/11/2015,4,2,MZ-17515,OFF-EN-10001509,14.28,7,0,6.71
196,CA-2014-140004,21/03/2014,25/03/2014,4,1,CB-12025,OFF-AR-10004685,7.4,2,0.2,1.2
197,CA-2014-140004,21/03/2014,25/03/2014,4,1,CB-12025,OFF-AR-10004027,6.04,3,0.2,1.58
198,CA-2017-107720,06/11/2017,13/11/2017,4,3,VM-21685,OFF-ST-10001414,46.26,3,0,12.02
199,US-2017-124303,06/07/2017,13/07/2017,4,2,FH-14365,OFF-BI-10000343,2.94,2,0.7,-2.25
200,US-2017-124303,06/07/2017,13/07/2017,4,2,FH-14365,OFF-PA-10002749,16.05,3,0.2,5.82
201,CA-2017-105074,24/06/2017,29/06/2017,4,1,MB-17305,OFF-PA-10002666,21.74,3,0.2,6.79
202,CA-2014-133690,03/08/2014,05/08/2014,1,1,BS-11755,FUR-TA-10004289,218.75,2,0.5,-161.87
203,CA-2014-133690,03/08/2014,05/08/2014,1,1,BS-11755,OFF-AP-10003622,2.6,1,0.2,0.29
204,US-2017-116701,17/12/2017,21/12/2017,3,1,LC-17140,OFF-AP-10003217,66.28,2,0.8,-178.96
205,CA-2017-126382,03/06/2017,07/06/2017,4,2,HK-14890,FUR-FU-10002960,35.16,7,0.2,9.67
206,CA-2017-108329,09/12/2017,14/12/2017,4,1,LE-16810,TEC-PH-10001918,444.76,4,0.2,44.47
207,CA-2017-135860,01/12/2017,07/12/2017,4,1,JH-15985,OFF-ST-10000642,83.92,4,0,5.87
208,CA-2017-135860,01/12/2017,07/12/2017,4,1,JH-15985,TEC-PH-10001700,131.98,2,0,35.63
209,CA-2017-135860,01/12/2017,07/12/2017,4,1,JH-15985,OFF-BI-10003274,15.92,4,0,7.48
210,CA-2017-135860,01/12/2017,07/12/2017,4,1,JH-15985,OFF-FA-10000134,52.29,9,0,16.2
211,CA-2017-135860,01/12/2017,07/12/2017,4,1,JH-15985,OFF-ST-10001522,91.99,1,0,3.67
212,CA-2015-101007,09/02/2015,13/02/2015,3,2,MS-17980,TEC-AC-10001266,20.8,2,0.2,6.5
213,CA-2015-146262,02/01/2015,09/01/2015,4,2,VW-21775,OFF-LA-10004544,23.68,2,0.2,8.88
214,CA-2015-146262,02/01/2015,09/01/2015,4,2,VW-21775,FUR-BO-10004695,452.45,5,0.5,-244.32
215,CA-2015-146262,02/01/2015,09/01/2015,4,2,VW-21775,TEC-PH-10002844,62.98,3,0.4,-14.69
216,CA-2015-146262,02/01/2015,09/01/2015,4,2,VW-21775,TEC-MA-10000864,1188,9,0.7,-950.4
217,CA-2015-146262,02/01/2015,09/01/2015,4,2,VW-21775,TEC-AC-10000109,89.58,2,0.2,4.47
218,CA-2016-130162,28/10/2016,01/11/2016,4,1,JH-15910,OFF-ST-10001328,93.06,6,0,26.05
219,CA-2016-130162,28/10/2016,01/11/2016,4,1,JH-15910,TEC-PH-10002563,302.37,3,0.2,22.67
220,CA-2015-169397,24/12/2015,27/12/2015,1,1,JB-15925,OFF-FA-10000585,5.58,2,0.2,1.81
221,CA-2015-169397,24/12/2015,27/12/2015,1,1,JB-15925,OFF-PA-10004000,22.7,6,0.2,8.23
222,CA-2015-169397,24/12/2015,27/12/2015,1,1,JB-15925,OFF-BI-10002852,19.77,4,0.7,-13.84
223,CA-2015-169397,24/12/2015,27/12/2015,1,1,JB-15925,FUR-FU-10000087,72.7,4,0.2,19.08
224,CA-2015-169397,24/12/2015,27/12/2015,1,1,JB-15925,TEC-MA-10001148,479.98,4,0.7,-383.99
225,CA-2015-169397,24/12/2015,27/12/2015,1,1,JB-15925,OFF-AR-10001958,27.16,2,0.2,2.71
226,CA-2015-163055,09/08/2015,16/08/2015,4,2,DS-13180,OFF-AR-10001026,2.2,1,0,0.96
227,CA-2015-163055,09/08/2015,16/08/2015,4,2,DS-13180,FUR-TA-10003748,622.45,5,0,136.93
228,CA-2015-163055,09/08/2015,16/08/2015,4,2,DS-13180,OFF-ST-10002485,21.98,1,0,0.21
229,US-2015-145436,28/02/2015,04/03/2015,4,1,VD-21670,FUR-CH-10004860,161.56,2,0.2,-28.27
230,US-2015-145436,28/02/2015,04/03/2015,4,1,VD-21670,FUR-CH-10004477,389.69,8,0.2,43.84
231,US-2014-156216,13/09/2014,17/09/2014,4,2,EA-14035,OFF-BI-10001679,18.64,7,0.7,-12.43
232,US-2017-100930,07/04/2017,12/04/2017,4,3,CS-12400,FUR-TA-10001705,233.86,2,0.45,-102.04
233,US-2017-100930,07/04/2017,12/04/2017,4,3,CS-12400,FUR-TA-10003473,620.61,3,0.45,-248.24
234,US-2017-100930,07/04/2017,12/04/2017,4,3,CS-12400,OFF-BI-10001679,5.32,2,0.7,-3.55
